HDFC,last_updated_HDFC,KOTAK,last_updated_KOTAK,ICICI,last_updated_ICICI,AXIS,last_updated_AXIS,IDFC,last_updated_IDFC,SBI,last_updated_SBI,PNB,last_updated_PNB,BOB,last_updated_BOB,CANARA,last_updated_CANARA,UNION,last_updated_UNION
None,2023-10-01 00:00:00,None,2023-09-13 00:00:00,None,0.0,None,2023-10-12 00:00:00,None,2023-10-01 00:00:00,None,2023-02-15 00:00:00,None,2023-07-01 00:00:00,None,2023-10-09 00:00:00,None,2023-10-05 00:00:00,None,2023-05-23 00:00:00
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4.5,None,3.5,None,4.25,None,4.25,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.25,None,4.25,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.25,None,4.25,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.25,None,4.25,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.25,None,4.25,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.25,None,4.25,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.25,None,4.25,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.25,None,4.25,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.25,None,4.25,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.25,None,4.25,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.5,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,3.5,None,4.5,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.25,None,4.05,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.0,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.3,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,4.25,None,4.75,None,4.75,None,4.5,None,4.5,None,4.5,None,5.0,None,5.5,None,4.4,None
4.5,None,7.0,None,4.75,None,5.75,None,4.5,None,5.25,None,5.5,None,5.0,None,6.15,None,4.4,None
5.75,None,6.0,None,4.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,4.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,4.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,4.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.25,None,5.5,None,5.5,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.75,None,5.5,None,6.0,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.75,None,5.5,None,6.0,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.75,None,5.5,None,6.0,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.75,None,5.5,None,6.0,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.75,None,5.5,None,6.0,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.75,None,5.5,None,6.0,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.75,None,5.5,None,6.0,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.75,None,5.5,None,6.0,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.75,None,5.5,None,6.0,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.75,None,5.5,None,6.0,None,6.15,None,5.25,None
5.75,None,6.0,None,5.75,None,5.75,None,5.75,None,5.75,None,5.5,None,6.0,None,6.15,None,5.25,None
